step_id,task_name,op_type,predecessors,std_duration,time_variance,work_load_score,rework_prob,required_workers,required_tools
S001,示例任务1,H,,30,5,4,0,1,
S002,示例任务2,A,S001,60,10,6,0,2,装配台
P001,零件接收扫码,D,,10,2,3,0,1,扫码枪
P002,零件清单核对,D,P001,15,3,3,0,1,
P003,零件入库登记,D,P002,10,2,3,0,1,
P011,转子类零件清洗,T,P003,45,8,5,0,2,超声波清洗机
P012,叶片类零件清洗,T,P003,40,6,5,0,2,超声波清洗机
P013,机匣类零件清洗,T,P003,50,8,5,0,2,清洗槽
P014,管路类零件清洗,T,P003,35,5,4,0,1,清洗槽
P015,附件类零件清洗,T,P003,30,5,4,0,1,清洗槽
P021,转子尺寸检测,M,P011,60,10,5,0.04,2,三坐标测量机
P022,转子缺陷探伤,M,P021,45,8,5,0.03,2,探伤设备
P023,叶片尺寸检测,M,P012,50,8,5,0.05,2,光学测量仪
P024,叶片表面检查,M,P023,40,6,4,0.04,2,检测台
P025,机匣尺寸检测,M,P013,55,10,5,0.03,2,三坐标测量机
P026,机匣密封面检查,M,P025,35,6,4,0.04,1,检测台
P027,管路气密检测,M,P014,30,5,4,0.05,1,气密检测台
P028,附件功能检测,M,P015,40,6,4,0.04,2,功能测试台
P031,叶片称重分组,M,P024,60,10,4,0.02,2,精密天平
P032,转子部件配组,M,P022,45,8,4,0.02,2,
P033,紧固件分拣,T,P003,25,4,3,0,1,
P034,密封件检查分拣,M,P003,30,5,4,0.03,1,
P041,装配工装准备,T,P003,40,6,5,0,2,
P042,量具校验,M,P003,35,5,4,0.02,1,校验台
P043,专用工具检查,M,P003,25,4,4,0.02,1,
C101,低压转子吊装定位,H,P032;P041,30,5,8,0,3,吊车;装配台
C102,一级风扇叶片安装,A,C101;P031,90,12,7,0,2,叶片安装夹具
C103,二级风扇叶片安装,A,C102,85,10,7,0,2,叶片安装夹具
C104,低压压气机叶片安装,A,C103,80,10,7,0,2,叶片安装夹具
C105,低压转子平衡测试,M,C104,60,10,5,0.08,2,动平衡机
C106,低压转子配重调整,A,C105,25,5,5,0,1,手动工具
