step_id,task_name,op_type,predecessors,std_duration,time_variance,work_load_score,rework_prob,required_workers,required_tools
# ========== 阶段1: 准备与来料检验 (Stage 1: Preparation & Incoming Inspection) ==========
S001,风扇叶片来料检验,M,,25,3,4,0.03,1,检测台
S002,压气机叶片来料检验,M,,30,4,4,0.04,1,检测台
S003,涡轮叶片来料检验,M,,35,5,5,0.05,1,检测台
S004,机匣来料检验,M,,40,5,5,0.04,2,检测台
S005,轴承组件来料检验,M,,20,3,4,0.03,1,检测台
S006,密封件来料检验,M,,15,2,3,0.02,1,
S007,工装夹具准备,H,,20,2,4,0,2,装配台
S008,装配工位清洁,H,,15,2,3,0,1,

# ========== 阶段2: 低压压气机装配 (Stage 2: Low Pressure Compressor Assembly) ==========
S101,低压压气机转子吊装,H,S001;S007;S008,25,4,8,0,3,吊车
S102,低压一级叶片安装,A,S101,45,6,7,0,2,装配台
S103,低压二级叶片安装,A,S102,45,6,7,0,2,装配台
S104,低压三级叶片安装,A,S103,45,6,7,0,2,装配台
S105,低压压气机静子安装,A,S104,35,5,6,0,2,装配台
S106,低压压气机间隙测量,M,S105,30,4,5,0.08,2,检测台
S107,低压压气机动平衡,M,S106,60,8,6,0.10,2,动平衡机

# ========== 阶段3: 高压压气机装配 (Stage 3: High Pressure Compressor Assembly) ==========
S201,高压压气机转子吊装,H,S002;S107,25,4,8,0,3,吊车
S202,高压一级叶片安装,A,S201,50,7,7,0,2,装配台
S203,高压二级叶片安装,A,S202,50,7,7,0,2,装配台
S204,高压三级叶片安装,A,S203,50,7,7,0,2,装配台
S205,高压四级叶片安装,A,S204,50,7,7,0,2,装配台
S206,高压五级叶片安装,A,S205,50,7,7,0,2,装配台
S207,高压压气机静子安装,A,S206,40,5,6,0,2,装配台
S208,高压压气机间隙测量,M,S207,35,5,5,0.08,2,检测台
S209,高压压气机动平衡,M,S208,70,10,6,0.12,2,动平衡机

# ========== 阶段4: 燃烧室装配 (Stage 4: Combustion Chamber Assembly) ==========
S301,燃烧室外壳安装,A,S209,40,5,6,0,2,装配台
S302,燃油喷嘴安装,A,S301,55,7,7,0,2,装配台
S303,点火器安装,A,S302,30,4,5,0,2,装配台
S304,燃烧室内衬安装,A,S303,45,6,7,0,2,装配台
S305,燃烧室密封检查,M,S304,40,5,5,0.06,2,检测台

# ========== 阶段5: 涡轮装配 (Stage 5: Turbine Assembly) ==========
S401,高压涡轮盘吊装,H,S003;S305,30,4,8,0,3,吊车
S402,高压涡轮叶片安装,A,S401,60,8,8,0,2,装配台
S403,高压涡轮导向器安装,A,S402,45,6,7,0,2,装配台
S404,高压涡轮间隙测量,M,S403,35,5,5,0.08,2,检测台
S405,低压涡轮盘吊装,H,S404,30,4,8,0,3,吊车
S406,低压涡轮叶片安装,A,S405,55,7,8,0,2,装配台
S407,低压涡轮导向器安装,A,S406,40,5,7,0,2,装配台
S408,低压涡轮间隙测量,M,S407,35,5,5,0.08,2,检测台
S409,涡轮组件动平衡,M,S408,75,10,6,0.10,2,动平衡机

# ========== 阶段6: 轴系与轴承装配 (Stage 6: Shaft & Bearing Assembly) ==========
S501,主轴吊装,H,S005;S409,25,4,8,0,3,吊车
S502,前轴承安装,A,S501,40,5,7,0,2,装配台
