step_id,task_name,op_type,predecessors,std_duration,time_variance,work_load_score,rework_prob,required_workers,required_tools
S001,低压压气机准备,H,,20,3,3,0,1,
S002,低压压气机装配,A,S001,45,8,6,0,2,装配台
S003,低压压气机检测,M,S002,30,5,4,0.08,1,检测台
S004,高压压气机准备,H,,25,4,3,0,1,
S005,高压压气机装配,A,S004,50,10,7,0,2,装配台
S006,高压压气机检测,M,S005,35,6,4,0.1,1,检测台
S007,压气机组合装配,A,S003;S006,90,15,8,0,3,装配台
S008,燃烧室准备,H,,15,2,2,0,1,
S009,燃烧室装配,A,S008,60,12,7,0,2,装配台
S010,燃烧室与压气机对接,A,S007;S009,75,12,8,0,3,装配台
S011,涡轮部件准备,H,,20,3,3,0,1,
S012,低压涡轮装配,A,S011,55,10,7,0,2,装配台
S013,高压涡轮装配,A,S011,60,11,7,0,2,装配台
S014,涡轮组合装配,A,S012;S013,70,12,8,0,3,装配台
S015,核心机总装,A,S010;S014,120,20,9,0,4,装配台
S016,动平衡测试,M,S015,90,15,5,0.12,2,动平衡机
S017,附件安装,T,S016,45,8,5,0,2,
S018,管路连接,A,S017,60,10,6,0,2,
S019,电气系统安装,T,S018,50,8,5,0,2,
S020,整机气密性检测,M,S019,40,6,4,0.05,1,检测台
S021,试车准备,H,S020,30,5,4,0,2,
S022,冷态试车,M,S021,120,20,6,0.08,2,试车台
S023,热态试车,M,S022,180,30,7,0.1,3,试车台
S024,性能数据记录,D,S023,25,4,3,0,1,
S025,最终检验,M,S024,60,10,5,0.05,2,检测台
S026,包装入库,H,S025,30,5,4,0,2,
